component_id,count,mean,min,max
6025,4,0.987839,0.987839,0.987839
5993,12,1.000000,1.000000,1.000000
5990,4,0.995966,0.995966,0.995966
5986,8,0.968752,0.964405,0.973100
5985,4,1.000000,1.000000,1.000000
5968,8,0.973337,0.960992,0.985682
5967,4,0.975885,0.975885,0.975885
5954,16,0.986329,0.973975,0.993815
5951,8,0.963675,0.963398,0.963953
5943,14,0.968942,0.960362,0.975797
5942,4,0.994312,0.994312,0.994312
5940,28,0.998820,0.991738,1.000000
5925,12,0.966202,0.964801,0.967852
5906,4,1.000000,1.000000,1.000000
5903,4,1.000000,1.000000,1.000000
5897,4,1.000000,1.000000,1.000000
5889,4,0.995279,0.995279,0.995279
5881,4,0.960320,0.960320,0.960320
5879,4,1.000000,1.000000,1.000000
5876,4,0.990606,0.990606,0.990606
5841,2,0.980390,0.980390,0.980390
5837,612,1.000000,1.000000,1.000000
5820,4,1.000000,1.000000,1.000000
5780,12,1.000000,1.000000,1.000000
5777,90,1.000000,1.000000,1.000000
5771,12,1.000000,1.000000,1.000000
5754,16,0.990183,0.980366,1.000000
5732,36,0.971520,0.960373,0.989725
5726,174,0.978752,0.963326,0.989762
5724,4,0.979226,0.979226,0.979226
5709,4,1.000000,1.000000,1.000000
5706,4,0.976750,0.976750,0.976750
5705,62,0.971127,0.960030,1.000000
5700,4,0.978825,0.978825,0.978825
5697,324,1.000000,1.000000,1.000000
5696,4,1.000000,1.000000,1.000000
5694,384,1.000000,1.000000,1.000000
5693,4,1.000000,1.000000,1.000000
5688,4,1.000000,1.000000,1.000000
5684,4,1.000000,1.000000,1.000000
5679,4,0.964050,0.964050,0.964050
5678,32,0.990476,0.987458,0.992809
5668,4,0.982903,0.982903,0.982903
5658,4,1.000000,1.000000,1.000000
5657,4,0.961938,0.961938,0.961938
5647,184,0.975470,0.960164,0.989197
5646,12,0.973598,0.960397,1.000000
5637,4,1.000000,1.000000,1.000000
5629,12,0.975122,0.970930,0.978373
5612,22,0.996711,0.981909,1.000000
5606,676,0.967079,0.960036,1.000000
5598,4,1.000000,1.000000,1.000000
5588,12,1.000000,1.000000,1.000000
5581,4,0.976942,0.976942,0.976942
5557,4,1.000000,1.000000,1.000000
5555,32,0.969761,0.963075,0.988705
5551,4,0.997715,0.997715,0.997715
5535,60,1.000000,1.000000,1.000000
5530,20,0.992818,0.964091,1.000000
5523,4,1.000000,1.000000,1.000000
5507,360,1.000000,1.000000,1.000000
5494,36,1.000000,1.000000,1.000000
5323,4,1.000000,1.000000,1.000000
5266,4,1.000000,1.000000,1.000000
5231,4,1.000000,1.000000,1.000000
5141,4,1.000000,1.000000,1.000000
5128,20,0.998989,0.995136,1.000000
2325,4,0.992608,0.992608,0.992608
2218,4,0.977473,0.977473,0.977473
2130,4,1.000000,1.000000,1.000000
2115,4,0.964435,0.964435,0.964435
2082,4,0.985871,0.985871,0.985871
2079,12,0.995861,0.993792,1.000000
2065,4,1.000000,1.000000,1.000000
2046,4,0.988371,0.988371,0.988371
2014,4,0.998192,0.998192,0.998192
1999,4,1.000000,1.000000,1.000000
